1	"Number of children reported is more than 0 (4+5>0)"	"Well done on seeing [##] patients this week. VHT tip! Cough with fast breathing is a sign of pneumonia. Treat with amoxicillin red or green."	"Number of children reported is 0 (4+5=0)"	"Thank you for the report. VHT tip! Cough with fast breathing is a sign of pneumonia. Treat with amoxicillin red or green."	"##=4+5"
2	"Number of children reported is more than 0 (4+5>0)"	"Well done on seeing [##] patients this week. VHT tip! Prevention is better than cure. Regularly visit your community to inform them about good health practices."	"Number of children reported is 0 (4+5=0)"	"Thank you for the report. VHT tip! Prevention is better than cure. Regularly visit your community to inform them about good health practices."	"##=4+5"
3	"Number of children reported is more than 0 (4+5>0)"	"Well done on seeing [##] patients this week. VHT tip! Children with positive RDT need Coartem. Children with a danger sign should be given rectal artesunate before referral."	"Number of children reported is 0 (4+5=0)"	"Thank you for the report. VHT tip! Children with positive RDT need Coartem. Children with a danger sign should be given rectal artesunate before referral."	"##=4+5"
4	"Number of children reported is more than 0 (4+5>0)"	"Thank you [name] for submitting your report. You have seen [##] patients this week and a total of [###] since [month]. Keep it up!"	"Number of children reported is 0 (4+5=0)"	"Thank you [name] for submitting your report. You have seen a total of [###] since [month]. Keep it up!"	"name=1 (code/name) ##=4+5 ###=sum(week1[4+5]:week4[4+5]) month=2 (first submission month)"
5	"Number of children reported is more than 0 (4+5>0)"	"Well done on seeing [##] patients this week. VHT tip! Diarrhoea can lead to dehydration. Give ORS and zinc to all children with diarrhoea, including those you refer."	"Number of children reported is 0 (4+5=0)"	"Thank you for the report. VHT tip! Diarrhoea can lead to dehydration. Give ORS and zinc to all children with diarrhoea, including those you refer."	"##=4+5"
6	"Number of children reported is more than 0 (4+5>0)"	"Well done on seeing [##] patients this week. VHT tip! All children with danger signs or with symptoms that you cannot treat must be referred to the health center."	"Number of children reported is 0 (4+5=0)"	"Thank you for the report. VHT tip! All children with danger signs or with symptoms that you cannot treat must be referred to the health center."	"##=4+5"
7	"Number of children reported is more than 0 (4+5>0)"	"Well done on seeing [##] patients this week. VHT tip! Counsel caretakers that fever with negative RDT is not malaria and can not be treated with Coartem."	"Number of children reported is 0 (4+5=0)"	"Thank you for the report. VHT tip! Counsel caretakers that fever with negative RDT is not malaria and can not be treated with Coartem."	"##=4+5"
8	"Number of children reported is more than 0 (4+5>0)"	"Thank you [name] for submitting your report. You have seen [##] patients this week and a total of [###] since [month]. Keep it up!"	"Number of children reported is 0 (4+5=0)"	"Thank you [name] for submitting your report. You have seen a total of [###] since [month]. Keep it up!"	"name=1 (code/name) ##=4+5 ###=sum(week1[4+5]:week4[4+5]) month=2 (first submission month)"
9	"Number of children reported is more than 0 (4+5>0)"	"Well done on seeing [##] patients this week. VHT tip! Remember to visit newborns to detect and refer those with danger signs."	"Number of children reported is 0 (4+5=0)"	"Thank you for the report. VHT tip! Remember to visit newborns to detect and refer those with danger signs."	"##=4+5"
10	"Number of children reported is more than 0 (4+5>0)"	"Well done on seeing [##] patients this week. VHT tip! Call or SMS your supervisor for advice when your supplies are running low."	"Number of children reported is 0 (4+5=0)"	"Thank you for the report. VHT tip! Call or SMS your supervisor for advice when your supplies are running low."	"##=4+5"
